year,round,type,institute,academic_program,quota,seat_type,gender,opening_rank,closing_rank
2016,6,3IT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,16620,28560
2016,6,3IT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,7004,10529
2016,6,3IT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),,806,806
2016,6,3IT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Engineering (4 Years, Bachelor of Technology)",AI,SC,,3299,6465
2016,6,3IT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Engineering (4 Years, Bachelor of Technology)",AI,ST,,2195,3141
2016,6,3IT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Electronics and Communication Engineering - Design and Manufacturing (4 Years, Bachelor of Technology)",AI,OPEN,,26730,30485
2016,6,3IT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Electronics and Communication Engineering - Design and Manufacturing (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,1039,1039
2016,6,3IT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Electronics and Communication Engineering - Design and Manufacturing (4 Years, Bachelor of Technology)",AI,OBC-NCL,,8614,11359
2016,6,3IT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Electronics and Communication Engineering - Design and Manufacturing (4 Years, Bachelor of Technology)",AI,SC,,3301,6308
2016,6,3IT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Electronics and Communication Engineering - Design and Manufacturing (4 Years, Bachelor of Technology)",AI,ST,,2022,3256
2016,6,3IT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Mechanical Engineering- Design and Manufacturing (4 Years, Bachelor of Technology)",AI,OPEN,,27497,33862
2016,6,3IT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Mechanical Engineering- Design and Manufacturing (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,1108,1108
